epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.1664,1.83076,3.38726,1.56898,0.20747,0.28329,0.19767,0.08194,1.90433,3.04011,1.60456,0.000416108,0.000416108,0.000416108
2,133.22,1.89525,2.89738,1.60886,0.43825,0.38404,0.35148,0.17049,1.84281,2.77773,1.59695,0.000816286,0.000816286,0.000816286
3,199.109,1.89783,2.70507,1.61993,0.33354,0.40083,0.3109,0.16047,1.80851,2.77345,1.56122,0.00119996,0.00119996,0.00119996
4,264.534,1.93647,2.61269,1.64023,0.33793,0.41881,0.37378,0.17576,1.77292,2.3226,1.59804,0.00117575,0.00117575,0.00117575
5,329.725,1.89869,2.4016,1.62846,0.36958,0.4702,0.35637,0.16294,1.7613,2.27851,1.56541,0.001151,0.001151,0.001151
6,394.995,1.8482,2.33377,1.58886,0.35008,0.51894,0.39376,0.1966,1.75503,2.04468,1.58493,0.00112625,0.00112625,0.00112625
7,460.247,1.80189,2.21873,1.5555,0.34101,0.51276,0.38812,0.19229,1.75713,2.04108,1.55635,0.0011015,0.0011015,0.0011015
8,525.898,1.7998,2.17147,1.55236,0.43125,0.45566,0.45064,0.25488,1.67987,2.20552,1.49855,0.00107675,0.00107675,0.00107675
9,591.394,1.80194,2.10287,1.54603,0.45411,0.5462,0.49689,0.27281,1.66568,1.9644,1.51801,0.001052,0.001052,0.001052
10,656.679,1.77011,2.03703,1.52706,0.53284,0.47496,0.51795,0.27828,1.70796,1.82335,1.52085,0.00102725,0.00102725,0.00102725
11,722.057,1.72121,1.94313,1.49875,0.51842,0.5009,0.45564,0.2426,1.61188,1.93516,1.44554,0.0010025,0.0010025,0.0010025
12,787.172,1.75302,1.97232,1.50431,0.41465,0.57065,0.51155,0.31481,1.58739,1.94878,1.40937,0.00097775,0.00097775,0.00097775
13,852.484,1.72938,1.90358,1.48501,0.57163,0.51984,0.55399,0.2946,1.69956,1.72328,1.46541,0.000953,0.000953,0.000953
14,918.009,1.70449,1.86345,1.49584,0.5298,0.50642,0.56601,0.3237,1.60439,1.81952,1.46429,0.00092825,0.00092825,0.00092825
15,983.362,1.6788,1.79744,1.45048,0.49634,0.58457,0.56429,0.33129,1.59769,1.72838,1.42563,0.0009035,0.0009035,0.0009035
16,1048.66,1.69399,1.81861,1.47743,0.61096,0.53731,0.60261,0.34964,1.6097,1.80364,1.44484,0.00087875,0.00087875,0.00087875
17,1114.15,1.63902,1.73372,1.44747,0.55029,0.62552,0.5849,0.3126,1.68135,1.70526,1.46481,0.000854,0.000854,0.000854
18,1179.82,1.65741,1.71394,1.44063,0.56588,0.56286,0.60078,0.34462,1.69717,1.6986,1.50111,0.00082925,0.00082925,0.00082925
19,1245.43,1.64219,1.71372,1.44409,0.66384,0.4926,0.57045,0.32185,1.56876,1.67679,1.40887,0.0008045,0.0008045,0.0008045
20,1310.81,1.63103,1.63491,1.44342,0.65912,0.56309,0.64864,0.36973,1.59749,1.6109,1.41829,0.00077975,0.00077975,0.00077975
21,1376.06,1.59228,1.6645,1.41232,0.61478,0.60979,0.65638,0.37044,1.5869,1.60499,1.38271,0.000755,0.000755,0.000755
22,1441.31,1.62146,1.59653,1.41734,0.60595,0.61823,0.64747,0.37674,1.57659,1.5457,1.37474,0.00073025,0.00073025,0.00073025
23,1506.54,1.59254,1.61832,1.41392,0.66685,0.60308,0.64046,0.36324,1.60737,1.48262,1.4343,0.0007055,0.0007055,0.0007055
24,1571.96,1.58476,1.57785,1.40158,0.62126,0.61187,0.6374,0.37187,1.56795,1.50301,1.37163,0.00068075,0.00068075,0.00068075
25,1637.64,1.58299,1.53655,1.38707,0.60602,0.67773,0.6764,0.39097,1.53986,1.49234,1.36603,0.000656,0.000656,0.000656
26,1703.02,1.57042,1.54741,1.38557,0.65349,0.70498,0.70438,0.39901,1.56535,1.47012,1.41094,0.00063125,0.00063125,0.00063125
27,1768.31,1.57055,1.50801,1.38696,0.66115,0.62253,0.70201,0.41182,1.58159,1.45279,1.40688,0.0006065,0.0006065,0.0006065
28,1833.44,1.57128,1.52403,1.37034,0.64988,0.68181,0.70186,0.39227,1.56334,1.46622,1.35979,0.00058175,0.00058175,0.00058175
29,1898.8,1.54376,1.45199,1.35815,0.78732,0.66491,0.75072,0.44501,1.58444,1.38043,1.41082,0.000557,0.000557,0.000557
30,1964.69,1.52504,1.42382,1.36113,0.81357,0.5485,0.70259,0.41746,1.56761,1.49709,1.36304,0.00053225,0.00053225,0.00053225
31,2030.16,1.53137,1.43856,1.33772,0.67742,0.61763,0.6963,0.42502,1.49282,1.43022,1.30521,0.0005075,0.0005075,0.0005075
32,2095.38,1.52004,1.39264,1.35179,0.65558,0.6232,0.71127,0.41391,1.52984,1.43504,1.34916,0.00048275,0.00048275,0.00048275
33,2161.05,1.53343,1.41458,1.35113,0.7585,0.65742,0.72394,0.44455,1.55016,1.36607,1.39929,0.000458,0.000458,0.000458
34,2226.17,1.52666,1.38047,1.34697,0.61376,0.73657,0.73691,0.44501,1.52539,1.39374,1.32907,0.00043325,0.00043325,0.00043325
